ID,country,owner_age,attitude_stable_business_environment,attitude_worried_shutdown,compliance_income_tax,perception_insurance_doesnt_cover_losses,perception_cannot_afford_insurance,personal_income,business_expenses,business_turnover,business_age_years,motor_vehicle_insurance,has_mobile_money,current_problem_cash_flow,has_cellphone,owner_sex,offers_credit_to_customers,attitude_satisfied_with_achievement,has_credit_card,keeps_financial_records,perception_insurance_companies_dont_insure_businesses_like_yours,perception_insurance_important,has_insurance,covid_essential_service,attitude_more_successful_next_year,problem_sourcing_money,marketing_word_of_mouth,has_loan_account,has_internet_banking,has_debit_card,future_risk_theft_stock,business_age_months,medical_insurance,funeral_insurance,motivation_make_more_money,uses_friends_family_savings,uses_informal_lender,Target
ID_Z9LPHU,malawi,51,Don’t know or N/A,Yes,No,Don't know,Don't know,60000,15000,35000,5,Never had,Have now,Yes,No,Male,"Yes, sometimes",No,Never had,No,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,,Yes,Yes,No,Never had,Never had,Never had,No,,Never had,Never had,Yes,,,Low
ID_Q77YY5,zimbabwe,28,Yes,No,No,No,No,150,1440,2400,7,Never had,,,Yes,Male,No,Yes,Never had,No,No,Yes,No,No,,,,,,,Yes,3,Never had,Never had,,,,Low
ID_NZ5X51,eswatini,40,No,Yes,Yes,Yes,Yes,500,10000,15000,1,Never had,Never had,0,Yes,Female,No,No,Never had,No,Yes,No,No,Don't know,Yes,Yes,Yes,Never had,Never had,Never had,,4,Never had,Never had,,Never had,Never had,Low
ID_29ASAJ,malawi,35,Don’t know or N/A,No,No,No,No,350000,170000,10000000,,,Have now,No,Yes,Female,"Yes, sometimes",No,Have now,Yes,No,Yes,No,,Yes,No,No,Never had,Never had,Never had,Yes,5,,,No,Never had,Never had,Medium
ID_5YU3TT,malawi,37,Yes,No,No,Don't know,Don't know,700000,340000,8400000,,,Used to have but don't have now,No,Yes,Male,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Yes,No,,Yes,Yes,No,Never had,Never had,Never had,Yes,3,,,Yes,,,Low
ID_LUUJ7K,malawi,20,Yes,No,No,Don't know,Yes,240000,1824000,2880000,2,,Have now,No,Yes,Male,"Yes, sometimes",Yes,Never had,Yes,Don?t know / doesn?t apply,Yes,No,,Yes,No,No,Never had,Never had,Never had,No,,,,No,,,Medium
ID_7DXJ17,lesotho,25,Yes,No,No,Don't know,Yes,500,400,500,1,Never had,,Yes,,,,,,,,,,Don't know,Yes,No,Yes,,,,,,,,Yes,Used to have but don't have now,Used to have but don't have now,Low
ID_3AH4EM,malawi,52,Don’t know or N/A,Yes,No,No,No,120000,85000,450000,8,,Never had,No,No,Male,No,No,Never had,No,No,Yes,No,,Don't know,No,No,Never had,Never had,Never had,Yes,,,,No,,,Low
ID_SYM7D0,malawi,39,Yes,No,No,No,No,600000,180000,50000,4,,Never had,No,Yes,Male,No,Yes,Never had,Yes,No,Yes,No,,Yes,Yes,No,Never had,Never had,Never had,Yes,,,,No,,,Low
ID_1M3JLZ,eswatini,41,No,No,No,Yes,Yes,2500,8760,57000,1,Never had,Never had,Yes,Yes,Female,"Yes, sometimes",No,Never had,No,Yes,Yes,No,Don't know,Yes,,,Never had,Never had,Never had,,3,Never had,Never had,,Never had,Never had,Low
ID_YS0WI4,lesotho,29,Yes,Yes,Don’t know,Yes,Yes,5000,800,1500,1,Never had,,Yes,,,,,,,,,,Don't know,Yes,No,Yes,,,,Yes,,,,No,Never had,Never had,Low
ID_N42X2E,eswatini,76,Yes,No,No,No,No,3000,40000,90000,30,Never had,Have now,0,Yes,Female,No,Yes,Never had,No,Yes,Yes,No,No,Yes,,Yes,Never had,Never had,Have now,,1,Never had,Never had,,Never had,Never had,Low
ID_Q3Q5PC,lesotho,59,No,Yes,No,Don't know,Don't know,40,70,110,2,Never had,,,,,,,,,,,,Don't know,No,No,,,,,,,,,No,Used to have but don't have now,Used to have but don't have now,Low
ID_FTM6CM,zimbabwe,41,Yes,No,No,No,Yes,250,1800,1200,4,Never had,Have now,,Yes,Female,No,Yes,Never had,No,Don't know,Yes,No,Yes,,,,,,,Yes,0,Never had,Never had,Yes,,,Low
ID_KK1R6L,lesotho,33,Yes,Yes,Don’t know,Yes,Yes,4500,300,500,7,Never had,,,,,,,,,,,,No,Yes,No,Yes,,,,,,,,No,Used to have but don't have now,Used to have but don't have now,Low
ID_LCSVFX,zimbabwe,36,No,Yes,No,Don't know,Don't know,30,250,400,13,Never had,,,No,Male,"Yes, sometimes",No,Never had,"Yes, sometimes",Don't know, Do not know / N‎/A,No,No,,,,,,,No,0,Never had,Never had,Yes,,,Low
ID_HEYCE4,eswatini,39,Yes,Yes,Yes,No,Yes,1800,900,1800,7,Never had,Have now,Yes,Yes,Male,No,Yes,Never had,"Yes, sometimes",Yes,Yes,No,No,Yes,Yes,Yes,Never had,Never had,Never had,,11,Never had,Never had,,Never had,Never had,Low
ID_O5URTX,eswatini,36,No,Yes,No,Yes,Yes,15000,90000,105000,0,Used to have but don’t have now,Have now,Yes,Yes,Male,"Yes, sometimes",No,Never had,"Yes, always",Yes,Yes,No,No,Yes,Yes,Yes,Never had,Have now,Never had,,7,Never had,Have now,,Used to have but don’t have now,Never had,High
ID_WNLEPH,lesotho,18,Yes,Yes,No,No,Yes,30,70,200,3,Never had,,,,,,,,,,,,No,Yes,No,Yes,,,,Yes,,,,No,Never had,Used to have but don't have now,Medium
ID_K3FN3L,zimbabwe,82,No,No,No,Yes,Yes,100,1200,3000,30,Never had,,,Yes,Male,"Yes, sometimes",No,Never had,No,Yes,No,No,Yes,,,,,,,No,3,Never had,Never had,Yes,,,Low
ID_0ABGB8,lesotho,35,No,Yes,No,No,No,3000,2000,3000,1,Never had,Have now,,,,,,,,,,,Don't know,Yes,No,Yes,,,,,,,,Yes,Used to have but don't have now,Used to have but don't have now,Low
ID_SXAAQF,zimbabwe,51,Yes,No,No,Yes,Yes,70,540,840,21,Never had,,,Yes,Male,"Yes, sometimes",No,Never had,No,Yes,No,No,No,,,,,,,No,2,Never had,Never had,,,,Low
ID_7A3B0C,zimbabwe,38,Yes,No,No,Don't know,Don't know,400,54000,90000,2,Never had,,,Yes,Female,"Yes, sometimes",No,Never had,No,Don't know, Do not know / N‎/A,No,No,,,,,,,Yes,0,Never had,Never had,,,,Low
ID_IBRGE8,malawi,29,No,No,No,Yes,Yes,50000,80000,120000,,,Have now,Yes,Yes,Female,"Yes, sometimes",No,Never had,No,No,Yes,No,,Yes,Yes,No,Never had,Never had,Never had,Yes,6,,,Yes,Have now,Never had,Medium
ID_VHU4BA,eswatini,67,Yes,Yes,No,Yes,Yes,500,350,50,15,Never had,Have now,0,Yes,Female,No,Yes,Never had,No,Yes,No,No,No,No,,,Never had,Never had,Never had,,5,Never had,Never had,,Never had,Used to have but don’t have now,Low
ID_YE5LLX,zimbabwe,19,Yes,No,No,No,Yes,100,720,10800,0,Never had,,,Yes,Male,No,Yes,Never had,"Yes, sometimes",No,Yes,No,Don't know,,,,,,,No,3,Used to have but don't have now,Used to have but don't have now,,,,Low
ID_TPG7UV,malawi,25,Don’t know or N/A,No,No,Don't know,Don't know,500000,140000,6000000,,,Never had,No,Yes,Male,"Yes, sometimes",No,Never had,No,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,,Yes,No,No,Never had,Never had,Never had,No,10,,,Yes,,,Low
ID_BLZZBL,zimbabwe,27,Yes,No,No,Yes,Yes,25,120,180,0,Never had,,Yes,Yes,Female,No,No,Never had,No,No,Yes,No,No,,,,,,,Yes,3,Never had,Have now,Yes,,,Medium
ID_GQ3A7C,zimbabwe,54,Yes,No,No,Yes,Yes,700,6000,18000,10,Never had,,,Yes,Male,No,No,Never had,"Yes, always",Yes,Yes,No,Yes,,,,,,,No,4,Never had,Never had,,,,Low
ID_G3MWU4,eswatini,52,Yes,No,No,Yes,Yes,1500,1200,1500,1,Never had,Have now,0,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, sometimes",No,Yes,No,Don't know,Yes,Yes,Yes,Never had,Never had,Used to have but don’t have now,,10,Never had,Have now,,Never had,Never had,Medium
ID_TIVEH8,malawi,23,Don’t know or N/A,No,No,Don't know,Don't know,1650000,1000000,1650000,10,,Never had,No,Yes,Male,No,Yes,Never had,Yes,Don?t know / doesn?t apply,Yes,No,,Yes,Yes,No,Never had,Never had,Never had,Yes,,,,Yes,,,Low
ID_DR756S,lesotho,63,No,Yes,No,Don't know,Yes,1000,600,1000,33,Never had,Have now,,,,,,,,,,,Yes,Don't know,No,Yes,,,,Yes,,,,No,Used to have but don't have now,Used to have but don't have now,Low
ID_D4KUC8,zimbabwe,30,Yes,No,No,No,No,150,1080,3000,3,Never had,,,Yes,Male,"Yes, sometimes",Yes,Never had,"Yes, always",No,Yes,No,No,,,,,,,No,0,Never had,Never had,,,,Low
ID_X9MY4I,malawi,36,No,Yes,No,Don't know,Yes,590000,180000,540000,11,,Have now,No,Yes,Female,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Yes,No,,Yes,No,No,Never had,Never had,Never had,Yes,,,,No,Have now,Never had,Low
ID_KHBEDB,malawi,55,Don’t know or N/A,Yes,No,Yes,No,140000,432000,560000,,,Never had,No,Yes,Male,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Yes,No,,Yes,No,No,Never had,Never had,Never had,Yes,3,,,Yes,,,Low
ID_XKWQ0Y,eswatini,33,No,No,No,Yes,Yes,2000,6650,16000,0,Never had,Have now,Yes,Yes,Female,No,Yes,Never had,"Yes, always",No,Yes,No,Don't know,Yes,Yes,Yes,Never had,Never had,Never had,,1,Never had,Never had,,Have now,Never had,Low
ID_HLU8M8,eswatini,32,Yes,No,No,Yes,Yes,450,350,950,0,Never had,Have now,0,Yes,Female,"Yes, sometimes",Yes,Never had,No,No,No,No,Don't know,Yes,,Yes,Never had,Never had,Never had,,9,Never had,Never had,,Used to have but don’t have now,Never had,Low
ID_IJXM5L,lesotho,59,Yes,No,Yes,No,Yes,150000,95000,100000,10,Never had,Have now,,,,,,,,,,,No,Yes,Yes,,Have now,Used to have but don't have now,Have now,,,,,No,Used to have but don't have now,Used to have but don't have now,Low
ID_PUD6W0,malawi,33,No,No,No,No,No,700000,150000,675000,14,,Have now,Yes,Yes,Male,"Yes, sometimes",No,Never had,Yes,No,Yes,No,,Yes,Yes,No,Never had,Never had,Never had,No,,,,Yes,,,Low
ID_E9ZWVI,malawi,47,Don’t know or N/A,Yes,No,Don't know,Don't know,10000,5000,8000,10,,Never had,No,No,Female,No,Yes,Never had,Yes,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,,Don't know,Yes,No,Never had,Never had,Never had,No,,,,Yes,,,Low
ID_7ODKEF,eswatini,54,Yes,No,No,No,Yes,2800,2600,5000,2,Never had,Never had,0,Yes,Male,No,No,Never had,"Yes, sometimes",No,Yes,No,No,Yes,,Yes,Never had,Never had,Have now,,6,Never had,Never had,,Have now,Have now,Medium
ID_4R9V4K,eswatini,50,No,No,No,Yes,Yes,6000,30000,60000,15,Never had,Never had,Yes,Yes,Male,"Yes, sometimes",No,Never had,"Yes, sometimes",Yes,No,No,Yes,Yes,Yes,Yes,Never had,Never had,Never had,,5,Never had,Never had,,Never had,Never had,Low
ID_NTBZ3M,eswatini,36,Yes,Yes,No,No,Yes,2000,10000,35000,2,Never had,Never had,Yes,Yes,Female,"Yes, sometimes",No,Never had,No,No,Yes,No,Don't know,Yes,Yes,Yes,Never had,Never had,Never had,,6,Never had,Never had,,Never had,Never had,Low
ID_WUDRGT,lesotho,46,Don’t know or N/A,No,No,No,No,5500,4500,10000,17,Never had,Have now,Yes,,,,,,,,,,No,Yes,No,Yes,,,,,,,,Yes,Used to have but don't have now,Used to have but don't have now,Medium
ID_X4SVKK,zimbabwe,38,No,Yes,No,No,Yes,50,360,960,3,Never had,,,Yes,Female,"Yes, sometimes",Yes,Never had,No,No,Yes,No,No,,,,,,,Yes,2,Never had,Never had,,,,Low
ID_AXTA8R,zimbabwe,47,Yes,No,No,No,Yes,80,720,1800,1,Never had,Have now,,Yes,Female,"Yes, sometimes",No,Never had,No,Yes,Yes,No,No,,,,,,,Yes,0,Never had,Have now,,,,Medium
ID_EFQJG0,eswatini,55,Yes,Yes,No,No,Yes,70000,200000,420000,1,Never had,Have now,0,No,Male,"Yes, always",Yes,Never had,"Yes, sometimes",No,Yes,No,No,Yes,,Yes,Have now,Never had,Have now,,2,Never had,Never had,,Never had,Never had,High
ID_Z43XZ6,eswatini,61,Yes,No,No,Yes,Yes,1000,1500,2500,11,Never had,Have now,Yes,Yes,Female,"Yes, sometimes",No,Never had,No,Yes,No,No,No,Yes,Yes,Yes,Never had,Never had,Never had,,6,Never had,Have now,,Never had,Never had,Medium
ID_NRQ277,malawi,40,Don’t know or N/A,No,No,Don't know,Don't know,590000,150000,6000000,7,,Never had,No,No,Female,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Yes,No,,Yes,Yes,No,Never had,Never had,Never had,No,,,,Yes,,,Low
ID_ZWTY25,lesotho,35,No,No,Yes,No,Yes,2000,5000,6000,2,Never had,Have now,,,,,,,,,,,Don't know,Yes,No,Yes,Have now,Have now,Used to have but don't have now,,,,,No,Never had,Used to have but don't have now,Low
ID_OYHDOW,lesotho,50,Yes,No,No,Don't know,Don't know,97,2000,13000,4,Never had,Have now,,,,,,,,,,,No,Yes,Yes,Yes,Used to have but don't have now,Used to have but don't have now,Have now,,,,,Yes,Never had,Used to have but don't have now,Low
ID_PLBBB0,eswatini,43,Yes,No,No,Yes,Yes,2500,48000,72000,8,Never had,Have now,Yes,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, sometimes",Yes,No,No,No,Yes,Yes,Yes,Never had,Never had,Have now,,2,Never had,Have now,,Never had,Never had,Medium
ID_8UE1MY,eswatini,33,Yes,Yes,No,No,No,2600,5000,8000,5,Never had,Never had,Yes,Yes,Female,"Yes, sometimes",No,Never had,"Yes, sometimes",No,No,No,No,Yes,Yes,Yes,Never had,Never had,Never had,,4,Never had,Never had,,Never had,Never had,Low
ID_G0AHWT,zimbabwe,29,Yes,No,Don’t know,No,Yes,3500,1920,4200,2,Never had,,,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, always",No,Yes,No,No,,,,,,,Yes,3,Never had,Never had,Yes,,,Low
ID_46OOJJ,malawi,21,Don’t know or N/A,No,No,No,No,900000,20000,30000,,,Never had,No,Yes,Male,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Yes,No,,Yes,No,No,Never had,Never had,Never had,No,2,,,Yes,,,Low
ID_6N6975,eswatini,34,Yes,Yes,No,Yes,No,1500,1500,5000,5,Never had,Have now,Yes,Yes,Male,No,No,Never had,"Yes, always",Yes,Yes,No,Yes,Yes,,,Used to have but don’t have now,Have now,Used to have but don’t have now,,2,Never had,Have now,,Used to have but don’t have now,Never had,High
ID_OQUC0V,zimbabwe,37,Yes,No,No,Yes,Yes,400,5000,5000,5,Never had,Have now,,Yes,Male,"Yes, sometimes",Yes,Never had,"Yes, sometimes",No,Yes,No,No,,,,,,,No,2,Have now,Have now,,,,Medium
ID_THVYTG,zimbabwe,36,No,No,No,No,Yes,100,780,1200,2,Never had,,,Yes,Male,No,No,Never had,"Yes, sometimes",No,Yes,No,No,,,,,,,No,2,Never had,Never had,,,,Low
ID_QAW4TE,lesotho,45,No,No,Yes,No,Don't know,500,6000,500,1,Never had,Have now,,,,,,,,,,,Don't know,Yes,No,,,,,Yes,,,,Yes,Used to have but don't have now,Used to have but don't have now,Medium
ID_B4IBHI,eswatini,37,Yes,No,No,Yes,Yes,200,800,1200,4,Never had,Have now,Yes,Yes,Male,"Yes, sometimes",Yes,Never had,No,Yes,No,No,Yes,Yes,Yes,Yes,Never had,Never had,Never had,,8,Never had,Never had,,Never had,Have now,Low
ID_OQ7QH9,eswatini,40,No,No,No,No,No,2500,4000,1000,5,Never had,Have now,0,Yes,Male,"Yes, sometimes",No,Never had,No,No,Yes,No,No,Yes,,Yes,Never had,Never had,Have now,,8,Never had,Never had,,Never had,Never had,Low
ID_OKDZGE,malawi,31,Don’t know or N/A,Yes,No,Don't know,Yes,15000,9500,5000,8,,Have now,No,Yes,Female,"Yes, sometimes",No,Never had,No,Don?t know / doesn?t apply,Yes,No,,Yes,No,No,Never had,Never had,Never had,No,,,,Yes,,,Low
ID_2QLGDV,eswatini,34,Yes,Yes,No,Yes,Yes,3000,500,5000,10,Never had,Have now,0,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, always",Yes,No,No,Yes,Yes,,Yes,Never had,Never had,Have now,,11,Never had,Never had,,Never had,Never had,Low
ID_L3RFJL,eswatini,48,Yes,No,No,No,Yes,2600,3000,8000,1,Never had,Never had,0,Yes,Female,"Yes, sometimes",No,Never had,"Yes, sometimes",Yes,No,No,Don't know,Yes,Yes,Yes,Never had,Never had,Never had,,0,Never had,Have now,,Never had,Never had,Medium
ID_F9TXMJ,malawi,40,No,No,Yes,No,Yes,2300000,200000,12000000,5,,Have now,Yes,Yes,Male,"Yes, sometimes",Yes,Never had,No,No,Yes,No,,Yes,No,No,Never had,Never had,Have now,No,,,,No,,,Low
ID_5TBDJG,lesotho,43,No,No,No,Don't know,Yes,3500,1000,400,2,Never had,Have now,,,,,,,,,,,No,No,Yes,Yes,,,,Yes,,,,Yes,Used to have but don't have now,Have now,Low
ID_NUP782,zimbabwe,50,Yes,Yes,Don’t know,No,No,300,1800,3600,17,Never had,,,Yes,Male,"Yes, sometimes",Yes,Never had,No,No,No,No,Yes,,,,,,,No,0,Never had,Never had,,,,Low
ID_KH5840,eswatini,46,No,No,No,No,Yes,5000,30000,120000,7,Never had,Have now,0,Yes,Male,"Yes, sometimes",No,Never had,No,No,Yes,No,No,Yes,Yes,Yes,Never had,Never had,Never had,,5,Never had,Have now,,Used to have but don’t have now,Used to have but don’t have now,Medium
ID_K711UZ,lesotho,36,Yes,No,No,No,Yes,6000,1000,1600,2,Never had,Have now,,,,,,,,,,,Yes,Yes,No,Yes,Have now,Used to have but don't have now,Used to have but don't have now,Yes,,,,No,Never had,Used to have but don't have now,Low
ID_LFVA6A,malawi,23,Don’t know or N/A,Yes,No,Don't know,Yes,150000,1100000,2300000,1,,Have now,No,Yes,Male,"Yes, sometimes",No,Never had,Yes,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,,Yes,Yes,No,Never had,Never had,Never had,Yes,,,,No,,,Low
ID_OLAFSJ,malawi,34,Don’t know or N/A,No,No,Don't know,Don't know,50000,109000,30000,6,,Have now,No,Yes,Male,"Yes, sometimes",Yes,Never had,Yes,Don?t know / doesn?t apply,Yes,No,,Yes,Yes,No,Never had,Never had,Never had,Yes,,,,Yes,,,Low
ID_IM2L18,malawi,38,Yes,No,No,No,No,450000,50000,450000,,,Never had,No,Yes,Male,"Yes, sometimes",No,Never had,Yes,Don?t know / doesn?t apply,Yes,No,,Yes,Yes,No,Never had,Never had,Have now,Yes,3,,,Yes,,,Low
ID_98CXGP,zimbabwe,38,Yes,No,No,No,No,300,43200,57600,0,Never had,Have now,,Yes,Male,No,Yes,Never had,"Yes, sometimes",No,Yes,Yes,No,,,,,,,No,2,Never had,Have now,,,,Medium
ID_1MQP8E,zimbabwe,35,No,No,No,No,Yes,50,3600,5400,2,Never had,,,Yes,Female,No,No,Never had,No,No,No,No,No,,,,,,,No,6,Never had,Never had,,,,Low
ID_AV917R,eswatini,56,Yes,Yes,No,Yes,Yes,1500,1500,5000,3,Never had,Have now,Yes,Yes,Male,"Yes, sometimes",Yes,Never had,"Yes, sometimes",Yes,No,No,No,Yes,Yes,Yes,Never had,Never had,Never had,,2,Never had,Never had,,Never had,Never had,Low
ID_3OBKJQ,malawi,72,Don’t know or N/A,Yes,No,No,Yes,10000,84000,300000,32,,Never had,No,Yes,Male,"Yes, sometimes",No,Never had,Yes,No,Yes,No,,Don't know,Yes,No,Never had,Never had,Never had,No,,,,Yes,,,Low
ID_NYWBTF,zimbabwe,30,Yes,No,No,Don't know,Yes,50,2400,3600,4,Never had,,,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, sometimes",Don't know,Yes,No,No,,,,,,,No,0,Never had,Never had,Yes,,,Low
ID_7DIVZG,zimbabwe,54,Yes,Yes,No,No,Yes,50,1560,720,0,Never had,,,No,Male,"Yes, always",No,Never had,"Yes, always",No,Yes,No,No,,,,,,,No,3,Never had,Never had,,,,Low
ID_BEO4EU,eswatini,47,Yes,No,No,Yes,Yes,1500,2000,7500,1,Never had,Have now,0,Yes,Female,"Yes, sometimes",No,Never had,"Yes, always",Yes,No,No,Don't know,Yes,Yes,Yes,Have now,Never had,Have now,,10,Never had,Never had,,Never had,Never had,Medium
ID_BL4OTP,malawi,62,No,Yes,No,No,Yes,2240000,400000,26880000,9,,Have now,Yes,Yes,Male,No,No,Have now,Yes,No,Yes,No,,No,No,Yes,Have now,Never had,Have now,Yes,,,,Yes,,,High
